dataset,model,percent,dim,score,CONT,TRUST,LCMC,score2,CONT2,TRUST2,LCMC2
kuhar,umap,2.5,7,0.6166666666666667,0.605793320852376,0.6246524145146193,0.08575051708854527,0.6298611111111111,0.605793320852376,0.6246524145146193,0.08575051708854527
kuhar,umap,5.0,18,0.5847222222222221,0.6064919332635867,0.6273539452673311,0.08443932827735644,0.5923611111111111,0.6064919332635867,0.6273539452673311,0.08443932827735644
kuhar,umap,25.0,89,0.5972222222222223,0.6055283299377787,0.6237714057595948,0.08312813946616764,0.5895833333333333,0.6055283299377787,0.6237714057595948,0.08312813946616764
kuhar,umap,50.0,53,0.5993055555555555,0.6098817521061616,0.6242291173393535,0.09274352408155224,0.5909722222222222,0.6098817521061616,0.6242291173393535,0.09274352408155224
kuhar,umap,75.0,51,0.5972222222222222,0.6153605253014702,0.6232930455371399,0.09536590170392988,0.5972222222222222,0.6153605253014702,0.6232930455371399,0.09536590170392988
kuhar,umap,100.0,334,0.5993055555555555,0.5926711084191398,0.6246248829910247,0.08662464296267113,0.6020833333333334,0.5926711084191398,0.6246248829910247,0.08662464296267113
kuhar,umap,200.0,462,0.6111111111111112,0.598263449149276,0.6250998017730302,0.08618758002560818,0.6111111111111112,0.598263449149276,0.6250998017730302,0.08618758002560818
motionsense,ae,2.5,9,0.7278719397363466,0.8987964432759561,0.7440248321300209,0.17417286113136415,0.7258003766478343,0.9036974236636919,0.7461764201867878,0.17629350203617095
motionsense,ae,5.0,17,0.7318267419962335,0.7826437774240245,0.7332928784346265,0.18707342663560544,0.7457627118644068,0.7877946461990809,0.7373903039021596,0.20032743229064784
motionsense,ae,25.0,90,0.7900188323917137,0.8167024992220935,0.7990952044879571,0.3177873757402237,0.800376647834275,0.8182605107576584,0.7984082791805149,0.3210272437892341
motionsense,ae,50.0,150,0.7984934086629002,0.8417107856179735,0.8074594473932238,0.34865448224352247,0.7975517890772128,0.8315251139802209,0.8073186350333035,0.3481243220173208
motionsense,ae,75.0,164,0.7890772128060264,0.817818626014097,0.8024480944671678,0.34211583945370155,0.8097928436911488,0.8129072735390013,0.8024299996843278,0.3437652268241068
motionsense,ae,100.0,344,0.7975517890772128,0.8254235081105213,0.8104201146341133,0.3750446801700069,0.791337099811676,0.8224484665094318,0.8101519623538325,0.3748679600946064
motionsense,ae,200.0,626,0.815442561205273,0.8340253507343889,0.815321095021849,0.39795938328028024,0.7973634651600754,0.8385957208375235,0.8178914561057773,0.4028486386996959
motionsense,convae,2.5,9,0.7218455743879473,0.8502532705897208,0.716560784941533,0.16398200344993155,0.6817325800376649,0.8152853564164889,0.6969243942475503,0.1370616452972454
motionsense,convae,5.0,17,0.1854990583804143,0.5995126246341584,0.7207366211347064,0.009410844166236908,0.6457627118644068,0.6779238012347293,0.6194912942110224,0.08704986395888535
motionsense,convae,25.0,84,0.806120527306968,0.93435522820847,0.8035234657202512,0.30223600910497395,0.16666666666666669,0.5076850402933045,0.704365295897614,0.008114896946632762
motionsense,convae,50.0,160,0.7890772128060264,0.8721220839778308,0.7935155851886593,0.32715353973645367,0.8145009416195856,0.8480760905347938,0.8044012036130941,0.3552520317251436
motionsense,convae,75.0,164,0.698870056497175,0.8851874191089926,0.8083539271879467,0.29764128714455923,0.818361581920904,0.8496176420186787,0.8025979260334883,0.34435429374210874
motionsense,convae,100.0,165,0.16666666666666669,0.5076850402933045,0.704365295897614,0.008114896946632762,0.7551789077212806,0.8619343830186381,0.7899478689870079,0.2973467536855583
motionsense,convae,200.0,422,0.8007532956685498,0.9666602216920933,0.9079471046092654,0.4546865274838618,0.8057438794726929,0.9704726402373856,0.9011306138922837,0.4634636245620899
motionsense,convtae,2.5,9,0.7062146892655368,0.7625718154309602,0.6750932924162003,0.12215825227179769,0.6689265536723163,0.8647014191721271,0.7101807674442726,0.13606023153664218
motionsense,convtae,5.0,17,0.6666666666666667,0.8113679204866764,0.7072476651529431,0.10672469902014832,0.6645951035781545,0.7823895485436236,0.6888540083608043,0.07615212597585048
motionsense,convtae,25.0,70,0.8002824858757063,0.9164101078246125,0.8549685116956559,0.2683057546280654,0.8222222222222223,0.8556408935327781,0.864055136663525,0.18607201287500222
motionsense,convtae,50.0,93,0.7538606403013184,0.7614225994254765,0.700619619479682,0.15520490637170345,0.8329566854990584,0.9342499853437896,0.8833282224497067,0.3619673945903651
motionsense,convtae,75.0,240,0.8501883239171375,0.9406857528106102,0.9070127148262225,0.4019061316308929,0.8397363465160075,0.9332690339077064,0.8927184000829766,0.3676813436949834
motionsense,convtae,100.0,277,0.7391713747645952,0.7760477499334834,0.7657024947124902,0.29057248412853665,0.8597928436911488,0.934061145709789,0.8713488561391483,0.35554656518414457
motionsense,convtae,200.0,582,0.6822033898305084,0.6550880725504963,0.6624528746465599,0.06878878950082692,0.8645951035781545,0.8927637779651768,0.8078296294459051,0.20297823342165633
motionsense,tae,2.5,8,0.7014124293785311,0.7831447943395461,0.656869365814502,0.0929405331389042,0.6805084745762712,0.775916971440683,0.658140002886146,0.0965338413387157
