dataset,model,percent,dim,score
uci,umap,75.0,128,0.6540579710144928
uci,umap,100.0,47,0.6695652173913044
uci,umap,200.0,20,0.6550724637681159
wisdm,ae,2.5,9,0.6543297380585515
wisdm,ae,5.0,18,0.6954083204930663
wisdm,ae,25.0,55,0.7235747303543913
wisdm,ae,50.0,59,0.704191063174114
wisdm,ae,75.0,165,0.7016949152542373
wisdm,ae,100.0,59,0.7035439137134052
wisdm,ae,200.0,719,0.7000616332819722
wisdm,convae,2.5,9,0.6975346687211095
wisdm,convae,5.0,17,0.7195685670261942
wisdm,convae,25.0,80,0.7413559322033898
wisdm,convae,50.0,49,0.6326656394453004
wisdm,convae,75.0,269,0.7200616332819723
wisdm,convae,100.0,190,0.2
wisdm,convae,200.0,566,0.6514637904468413
wisdm,convtae,2.5,8,0.6703852080123266
wisdm,convtae,5.0,17,0.6718952234206472
wisdm,convtae,25.0,69,0.760246533127889
wisdm,convtae,50.0,128,0.7392295839753467
wisdm,convtae,75.0,241,0.7294915254237287
wisdm,convtae,100.0,341,0.745084745762712
wisdm,convtae,200.0,561,0.7898305084745763
wisdm,tae,2.5,8,0.6626810477657935
wisdm,tae,5.0,17,0.6832049306625578
wisdm,tae,25.0,59,0.6718335901386749
wisdm,tae,50.0,144,0.6847149460708783
wisdm,tae,75.0,206,0.7178428351309708
wisdm,tae,100.0,293,0.7133436055469954
wisdm,tae,200.0,410,0.7108782742681048
wisdm,umap,2.5,9,0.5919876733436056
wisdm,umap,5.0,11,0.5929121725731895
wisdm,umap,25.0,55,0.600924499229584
wisdm,umap,50.0,144,0.6103235747303544
wisdm,umap,75.0,210,0.6083513097072419
wisdm,umap,100.0,291,0.5945146379044683
wisdm,umap,200.0,586,0.5992295839753468
