,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),num_params,num_trainable_params,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/umap_ncomp,config/umap_spread,config/umap_mdist,config/umap_neigh,config/umap_epochs,logdir
884,0.38497652582159625,0.31643192488262906,0.0043028879764843595,0.26511420432727884,0.006257107847559713,0.26511420432727884,0.006257107847559704,0.2652582159624413,0.0,0.20381447377201992,0.0,0.20381447377201992,0.0,0.38497652582159625,0.0,0.34317674008439475,0.0,0.3431767400843947,0.0,-1,-1,1701442734,False,1,45146e2c,2023-12-01_14-58-54,23.40104341506958,23.40104341506958,414043,d49c071550b4,172.17.0.2,23.40104341506958,1,,30,0.6620088406360444,0.6093409844873275,22,528,45146e2c
885,0.3474178403755869,0.3469483568075118,0.005434665212577569,0.27194059822104577,0.006081666969547902,0.27194059822104577,0.006081666969547899,0.2676056338028169,0.0,0.19998830998058068,0.0,0.19998830998058068,0.0,0.3474178403755869,0.0,0.30425002419653974,0.0,0.3042500241965398,0.0,-1,-1,1701442729,True,1,4a33cb4b,2023-12-01_14-58-49,18.09610342979431,18.09610342979431,412549,d49c071550b4,172.17.0.2,18.09610342979431,1,,15,0.26376681973711913,0.6943584443070763,30,393,4a33cb4b
886,0.392018779342723,0.3434272300469483,0.014203332870803604,0.31321490781410444,0.013052083455841693,0.3132149078141045,0.013052083455841699,0.3075117370892019,0.0,0.27992586002639264,0.0,0.27992586002639264,0.0,0.392018779342723,0.0,0.3487279993882105,0.0,0.3487279993882105,0.0,-1,-1,1701442731,False,1,8fae0287,2023-12-01_14-58-51,16.56801700592041,16.56801700592041,412803,d49c071550b4,172.17.0.2,16.56801700592041,1,,19,0.4670797922388837,0.5692908772591939,5,452,8fae0287
887,0.3591549295774648,0.34178403755868547,0.006048872641654984,0.2782599819174218,0.005853751639465689,0.2782599819174218,0.005853751639465692,0.2746478873239437,0.0,0.2228610592808685,0.0,0.2228610592808685,0.0,0.3591549295774648,0.0,0.29770641835548245,0.0,0.2977064183554825,0.0,-1,-1,1701442732,True,1,504ee63a,2023-12-01_14-58-52,15.345345258712769,15.345345258712769,410098,d49c071550b4,172.17.0.2,15.345345258712769,1,,11,0.33720206775484174,0.8757283380720261,17,271,504ee63a
888,0.40375586854460094,0.32370892018779346,0.009118743943453082,0.27014020372641584,0.007467547338519732,0.27014020372641584,0.007467547338519719,0.2605633802816901,0.0,0.20559235573361767,0.0,0.20559235573361767,0.0,0.40375586854460094,0.0,0.36124655373264525,0.0,0.3612465537326452,0.0,-1,-1,1701442736,False,1,6fdb3ac2,2023-12-01_14-58-56,15.693125247955322,15.693125247955322,416736,d49c071550b4,172.17.0.2,15.693125247955322,1,,13,0.13673378446694814,0.7554613869940859,9,427,6fdb3ac2
889,0.3826291079812207,0.3171361502347418,0.00730722179167765,0.2712969204648685,0.00766647507243657,0.2712969204648686,0.007666475072436572,0.3051643192488263,0.0,0.25322881274883485,0.0,0.25322881274883485,0.0,0.3826291079812207,0.0,0.3390749455993078,0.0,0.33907494559930773,0.0,-1,-1,1701442739,False,1,5ea0914c,2023-12-01_14-58-59,17.79011559486389,17.79011559486389,396778,d49c071550b4,172.17.0.2,17.79011559486389,1,,24,0.7601012656930644,0.7832811377871738,12,380,5ea0914c
890,0.33098591549295775,0.328169014084507,0.012762701614148528,0.27196491011602797,0.012982671915564454,0.2719649101160279,0.012982671915564454,0.2676056338028169,0.0,0.20563213557061247,0.0,0.20563213557061247,0.0,0.33098591549295775,0.0,0.28815177809880194,0.0,0.28815177809880194,0.0,-1,-1,1701442746,True,1,9f6b007c,2023-12-01_14-59-06,16.970319986343384,16.970319986343384,412549,d49c071550b4,172.17.0.2,16.970319986343384,1,,10,0.5354896667090524,1.0859935121052584,27,308,9f6b007c
891,0.33098591549295775,0.281924882629108,0.0061616923701439934,0.2181212321880547,0.007290048190250605,0.2181212321880547,0.007290048190250593,0.26291079812206575,0.0,0.1802021568861463,0.0,0.18020215688614624,0.0,0.33098591549295775,0.0,0.3034663986225788,0.0,0.3034663986225788,0.0,-1,-1,1701442750,True,1,008af219,2023-12-01_14-59-10,19.426701068878174,19.426701068878174,412803,d49c071550b4,172.17.0.2,19.426701068878174,1,,21,0.09021345537322553,0.8375632198353528,22,364,008af219
892,0.43896713615023475,0.3352112676056338,0.00686795250625718,0.29888575033175,0.006707559454335057,0.29888575033175,0.006707559454335044,0.27699530516431925,0.0,0.24488374692670675,0.0,0.2448837469267067,0.0,0.43896713615023475,0.0,0.3983508202292912,0.0,0.3983508202292912,0.0,-1,-1,1701442750,False,1,c6decce6,2023-12-01_14-59-10,18.390244722366333,18.390244722366333,410098,d49c071550b4,172.17.0.2,18.390244722366333,1,,33,0.17853862810773322,1.0139086992732917,5,469,c6decce6
893,0.1955399061032864,0.1955399061032864,0.005943187277545616,0.10133100424155579,0.008658308545740402,0.10133100424155579,0.008658308545740406,0.19248826291079812,0.0,0.09824614343583976,0.0,0.09824614343583976,0.0,0.1784037558685446,0.0,0.07596305607696426,0.0,0.07596305607696426,0.0,-1,-1,1701442758,True,1,c278110f,2023-12-01_14-59-18,23.687307596206665,23.687307596206665,414043,d49c071550b4,172.17.0.2,23.687307596206665,1,,18,1.4252831199765867,0.7162506045565126,155,333,c278110f
